,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
OSK,OSK,7.439700964,,841300000,6891600000,544700000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,818800000,Americas,,,
OSTK,OSTK,7.399548536,22.91,44234000,830214000,51209000,Software & IT Services,Online Services,41334000,Americas,,,
OTEX,OTEX,3.133053063,22.89,3588859000,9609336000,740903000,Software & IT Services,Software,3578859000,Americas,,,
OVID,OVID,-103.3819834,,0,75925520,-81430980,Biotechnology & Medical Research,Biotechnology & Medical Research,,Americas,,,
OVS,OVS,1.342671506,,1691084843,3162078423,-2175997.282,Textiles & Apparel,Apparel & Accessories,502560710.7,Europe,,,
OXY,OXY,-14.45416386,-36.58,36185000000,80064000000,-12562000000,Oil & Gas,Oil & Gas Exploration and Production,35429000000,Americas,,,
PAA,PAA,-9.703990672,-22.86,10213000000,24497000000,-2557000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,9312000000,Americas,,,
PACB,PACB,10.46435276,15.06,0,413980000,27615000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,,Americas,,,
PAG,PAG,4.008105951,17.71,4833900000,13247200000,704500000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",1602100000,Americas,,,
PANW,PANW,-5.168073756,70.689,3226000000,10241600000,-304100000,Software & IT Services,Online Services,1668100000,Americas,,,
PAR,PAR,-13.71003879,,106510000,343749000,-32069000,Office Equipment,Office Equipment,105844000,Americas,,,
PATK,PATK,6.020354618,,818407000,1753435000,173373000,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,810907000,Americas,,,
PBFX,PBFX,15.46580899,108.32,720845000,933552000,195338000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,720845000,Americas,,,
PBH,PBH,2.583732057,8.87,1048100085,2752272904,85942963.71,Food & Tobacco,Food Processing,739218276.5,Americas,,,
PBI,PBI,-3.586756554,,2587969000,5220137000,-79179000,Office Equipment,Office Equipment,2348361000,Americas,,,
PCG,PCG,-1.42473177,15.46,40863000000,97856000000,-204000000,Electric Utilities & IPPs,Electric Utilities,37288000000,Americas,,,
PCOR,PCOR,-3.065703234,-13.758,4435784212,7284419913,-96417413.04,Oil & Gas,Oil & Gas Refining and Marketing,2143324307,Asia,,,
PCRX,PCRX,13.82261783,19.82,462678000,1274513000,38279000,Pharmaceuticals,Pharmaceuticals,313030000,Americas,,,
PCX,PCX,6.638143908,,56982908.96,172149928.9,15695849.32,Personal & Household Products & Services,Household Products,45626626.6,Europe,,,
PD,PD,-3.895071877,-8.19,1019067557,2277201885,-7152395.915,Oil & Gas Related Equipment and Services,Oil & Gas Drilling,971099764.3,Americas,,,
PDCE,PDCE,-14.95501078,-25.26,1605730000,5237973000,-643538000,Oil & Gas,Oil & Gas Exploration and Production,1409548000,Americas,,,
PDD,PDD,-6.111304212,-6.99,2497947586,24353810575,-1437597701,Software & IT Services,Online Services,2211922146,Asia,,,
PEG,PEG,3.896502352,11.21,17243000000,50050000000,2270000000,Multiline Utilities,Multiline Utilities,14496000000,Americas,,,
PEGA,PEGA,-4.740922816,-5.44,518203000,1604262000,-111830000,Software & IT Services,Software,518203000,Americas,,,
PENN,PENN,-4.636578453,-29.699,6664400000,14667300000,-411400000,Hotels & Entertainment Services,Casinos & Gaming,2231200000,Americas,,,
PF,PF,-3.12554236,,1117948069,1777283755,-15939047.94,Real Estate Operations,"Real Estate Rental, Development & Operations",660393974.7,Asia,,,
PFC,PFC,-3.71425764,9.01,1113000000,4201000000,-148000000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,50000000,Europe,,,
PFI,PFI,7.068539324,4.413,350484627.7,1212366090,58009469.82,Real Estate Operations,"Real Estate Rental, Development & Operations",350375415.8,Oceania,,,
PG,PG,11.95965118,31.62,31988000000,119000000000.0,17454000000,Personal & Household Products & Services,Personal Products,23099000000,Americas,,,
PGAS,PGAS,-2.894716373,-11.046,3093277260,7533986400,215990440,Natural Gas Utilities,Natural Gas Utilities,2458058820,Asia,,,
PGEN,PGEN,-26.94177971,-245.56,171882000,314587000,-86603000,Biotechnology & Medical Research,Biotechnology & Medical Research,171522000,Americas,,,
PGTI,PGTI,4.544305162,12.61,412098000,1062521000,84711000,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,412098000,Americas,,,
PH,PH,8.684595893,27.12,6584877000,20341200000,2369432000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,6582053000,Americas,,,
PHM,PHM,12.27549556,23.39,3176092000,12205498000,1728694000,Homebuilding & Construction Supplies,Homebuilding,2752302000,Americas,,,
PI,PI,-24.56951417,-10.94,54556000,207616000,-47071000,Semiconductors & Semiconductor Equipment,Semiconductors,54556000,Americas,,,
PKG,PKG,6.285363692,17.41,2495400000,7433200000,723900000,Containers & Packaging,Paper Packaging,2479400000,Americas,,,
PKI,PKI,10.0435075,28.41,1990649000,7960315000,978581000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,1609701000,Americas,,,
PLC,PLC,1.330769322,2.38,191372450.9,1202307439,24083110.76,Personal & Household Products & Services,Personal Services,183248491.8,Americas,,,
PLUG,PLUG,-40.96166168,-68.47,447991000,2251282000,-566516000,Renewable Energy,Renewable Energy Equipment & Services,235653000,Americas,,,
PLX,PLX,-11.51192136,,58564000,67934000,2710000,Biotechnology & Medical Research,Biotechnology & Medical Research,51000,Asia,,,
PLXP,PLXP,-67.42406528,,622270,26616600,-13459110,Pharmaceuticals,Pharmaceuticals,0,Americas,,,
PM,PM,19.55981298,-66.72,31536000000,44815000000,11668000000,Food & Tobacco,Tobacco,28168000000,Americas,,,
PNW,PNW,2.698771325,9.95,6483266000,20020421000,788152000,Electric Utilities & IPPs,Electric Utilities,6314266000,Americas,,,
PODD,PODD,0.450958286,6.29,1059300000,1872900000,51500000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",1043700000,Americas,,,
POST,POST,2.040600292,5.57,7040200000,12414700000,560900000,Food & Tobacco,Food Processing,6922800000,Americas,,,
PPC,PPC,1.304396056,9.84,2281001000,7474497000,245463000,Food & Tobacco,Food Processing,2254302000,Americas,,,
PPG,PPG,,,6581000000,,1767000000,Chemicals,Commodity Chemicals,6572000000,Americas,,,
PPH,PPH,4.7424756,8.929,1688714509,6871636489,605829644,Diversified Retail,Department Stores,710479573.7,Africa,,,
PPL,PPL,-0.984868554,-2.99,9151610369,24678711705,3142183.818,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,8072270228,Americas,,,
PRAA,PRAA,3.779270182,,2794028000,4453061000,348652000,Banking Services,Corporate Financial Services,2794028000,Americas,,,
PRFT,PRFT,4.232208451,,183624000,785761000,50717000,Software & IT Services,IT Services & Consulting,183624000,Americas,,,
PRG,PRG,8.642174864,17.24,50000000,1317404000,271763000,Personal & Household Products & Services,Personal Services,50000000,Americas,,,
PRGO,PRGO,-1.426954164,9.97,3566100000,11488400000,95400000,Pharmaceuticals,Pharmaceuticals,3507500000,Europe,,,
PRGS,PRGS,6.520548834,45.59,560294000,1363537000,116102000,Software & IT Services,Software,534527000,Americas,,,
PRM,PRM,-9.754897849,,27420273.57,50547178.8,-3817708.842,Software & IT Services,IT Services & Consulting,16836150.46,Europe,,,
PRO,PRO,-14.6179831,-20.03,218028000,539971000,-66080000,Software & IT Services,Software,218028000,Americas,,,
PRTK,PRTK,-45.11978539,,250474000,176853000,-77872000,Pharmaceuticals,Pharmaceuticals,250474000,Americas,,,
PSA,PSA,-2.358442911,,9020676.6,13337322.91,-549.5847582,Hotels & Entertainment Services,Leisure & Recreation,8553297.509,Europe,,,
PSH,,,,,,,,,,,,,
PSTG,PSTG,-10.88330912,6.839,755814000,2819440000,-261033000,"Computers, Phones & Household Electronics",Computer Hardware,755814000,Americas,,,
PSX,PSX,-6.547897145,-15.25,15893000000,54721000000,-5818000000,Oil & Gas,Oil & Gas Refining and Marketing,14658000000,Americas,,,
PSXP,PSXP,11.3650749,30.03,3909000000,7258000000,355000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,3444000000,Americas,,,
PTC,PTC,12.08884633,27.05,1439471000,4507560000,380748000,Software & IT Services,Software,1439471000,Americas,,,
PTEN,PTEN,-20.77076671,-16.649,901484000,3299069000,-892258000,Oil & Gas Related Equipment and Services,Oil & Gas Drilling,901484000,Americas,,,
PTNR,PTNR,0.33530572,1.08,715420313.3,1596225122,29900021.8,Telecommunications Services,Wireless Telecommunications Services,406453421.4,Asia,,,
PVG,PVG,-3.059492881,18.87,271431000,1176567000,200076000,Metals & Mining,Diversified Mining,195958000,Americas,,,
PVH,PVH,-8.449553381,-2.65,3568000000,13293500000,-1076600000,Textiles & Apparel,Apparel & Accessories,3513700000,Americas,,,
PWR,PWR,5.402991544,13.21,1189058000,8398272000,602790000,Construction & Engineering,Construction & Engineering,1172912000,Americas,,,
PXD,PXD,-1.043923063,2.859,3856000000,19229000000,165000000,Oil & Gas,Oil & Gas Exploration and Production,3160000000,Americas,,,
PYPL,PYPL,6.904824504,24.96,8939000000,70379000000,3289000000,Software & IT Services,Online Services,8939000000,Americas,,,
PZC,PZC,1.070075051,,9441328.774,47479494.38,1489777.723,Real Estate Operations,"Real Estate Rental, Development & Operations",9417940.889,Europe,,,
PZZA,PZZA,7.56025447,-14.88,365368000,872770000,90253000,Hotels & Entertainment Services,Restaurants & Bars,328292000,Americas,,,
QCOM,QCOM,23.53905823,122.43,15745000000,41240000000,9756000000,Semiconductors & Semiconductor Equipment,Semiconductors,13701000000,Americas,,,
QGEN,QGEN,6.443905561,18.85,1922749000,5912530000,386431000,Biotechnology & Medical Research,Biotechnology & Medical Research,1880210000,Europe,,,
QH,QH,4.308492346,7.95,598351212.7,1586788508,42001666.11,Real Estate Operations,"Real Estate Rental, Development & Operations",354155864.5,Asia,,,
QIPT,QIPT,-7.310409014,10.74,27832000,72065000,657995,Healthcare Providers & Services,Healthcare Facilities & Services,15655000,Americas,,,
QLGN,QLGN,,,138740,29126770,-11444580,Biotechnology & Medical Research,Biotechnology & Medical Research,6970,Americas,,,
QRTEA,QRTEA,7.357742537,29.82,8353000000,16999000000,1756000000,Diversified Retail,Department Stores,6435000000,Americas,,,
QRVO,QRVO,10.64581206,25.32,1747642000,7221470000,841827000,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing,1742550000,Americas,,,
QTNT,QTNT,-49.72880976,,191981000,219812000,-82697000,Pharmaceuticals,Pharmaceuticals,166534000,Europe,,,
QTWO,QTWO,-11.34478859,0.84,557468000,1416702000,-108765000,Software & IT Services,Software,557468000,Americas,,,
QUAD,QUAD,-4.897808875,,928200000,1927700000,-47800000,Professional & Commercial Services,Commercial Printing Services,902700000,Americas,,,
QUOT,QUOT,-11.093465,-24.57,177168000,586792000,-51281000,Media & Publishing,Advertising & Marketing,177168000,Americas,,,
R,R,-0.6562634,-0.58,6610236000,12931954000,125150000,Freight & Logistics Services,Ground Freight & Logistics,6058519000,Americas,,,
RACE,RACE,10.40072105,37.289,3327729604,7647834636,874605520.3,Automobiles & Auto Parts,Auto & Truck Manufacturers,3251654861,Europe,,,
RAD,RAD,-1.065267289,-1.25,3086207000,9335404000,11861000,Food & Drug Retailing,Drug Retailers,3063087000,Americas,,,
RAVE,RAVE,13.18872017,,1826000,13345000,1491000,Hotels & Entertainment Services,Restaurants & Bars,0,Americas,,,
RBA,RBA,7.776232007,19.38,682902000,2351529000,263160000,Professional & Commercial Services,Business Support Services,626288000,Americas,,,
RCII,RCII,12.48523447,,190490000,1750980000,237336000,Specialty Retailers,Miscellaneous Specialty Retailers,190490000,Americas,,,
RCL,RCL,-18.39638983,-37.51,19329043000,32465187000,-4664303000,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",17796447000,Americas,,,
RDUS,RDUS,-53.1771248,131.63,238550000,191582000,-82422000,Biotechnology & Medical Research,Biotechnology & Medical Research,238550000,Americas,,,
REE,REE,4.794171948,16.219,8112624573,15686478994,1134595750,Electric Utilities & IPPs,Electric Utilities,7850078163,Europe,,,
REGN,REGN,21.97913571,33.16,2695700000,17163300000,3576600000,Biotechnology & Medical Research,Biotechnology & Medical Research,1978500000,Americas,,,
RFP,RFP,0.271886895,4.84,561000000,3730000000,114000000,Paper & Forest Products,Paper Products,552000000,Americas,,,
RGEN,RGEN,3.628580079,15.83,243737000,1902887000,69823000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",0,Americas,,,
RH,RH,10.20593723,198.81,1102476000,2898313000,446551000,Specialty Retailers,Home Furnishings Retailers,579577000,Americas,,,
RILY,RILY,8.191960181,,1770194000,2662730000,344765000,Investment Banking & Investment Services,Investment Banking & Brokerage Services,896186000,Americas,,,
RL,RL,-1.414876643,4.79,2023100000,7887500000,-43600000,Textiles & Apparel,Apparel & Accessories,1632900000,Americas,,,
RMBS,RMBS,-3.119332524,15.17,156031000,1251409000,-44054000,Semiconductors & Semiconductor Equipment,Semiconductors,156031000,Americas,,,
RML,RML,-6.504992906,,105761320.9,311967710.1,-15163182.09,Real Estate Operations,"Real Estate Rental, Development & Operations",94280676.1,Asia,,,
RNG,RNG,-4.566060323,17.26,1406468000,2184597000,-126539000,Software & IT Services,Software,1375320000,Americas,,,
ROK,ROK,14.96468388,64.719,3974300000,10701600000,1526200000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,3464600000,Americas,,,
ROL,ROL,-9.646737777,,3752118.405,254517003.7,-18715399.39,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,3752118.405,Europe,,,
ROLL,ROLL,6.504165923,8.25,16107000,1434260000,111458000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,13495000,Americas,,,
ROP,ROP,4.508030389,13.48,9566500000,24024800000,1431100000,Software & IT Services,Software,9064500000,Americas,,,
ROSE,ROSE,,-28.929,,,,Food & Drug Retailing,Drug Retailers,,Europe,,,
ROSN,ROSN,1.279151944,2.91,59520260198,208000000000.0,6775985906,Oil & Gas,Integrated Oil & Gas,48990378100,Europe,,,
ROST,ROST,0.773870158,9.5,2513085000,12717867000,189710000,Specialty Retailers,Apparel & Accessories Retailers,2448175000,Americas,,,
RPD,RPD,-12.52811249,-6.72,378586000,913122000,-74099000,Software & IT Services,Software,378586000,Americas,,,
RPM,RPM,8.473632823,44.23,2379826000,6252969000,723027000,Chemicals,Commodity Chemicals,2378544000,Americas,,,
RRC,RRC,-11.16570828,-1.11,3085608000,6136936000,-843164000,Oil & Gas,Oil & Gas Exploration and Production,3040252000,Americas,,,
RRD,RRD,-0.801733478,-27.19,1503100000,3130900000,105100000,Professional & Commercial Services,Commercial Printing Services,1442000000,Americas,,,
RS,RS,4.586800017,9.75,1644900000,8106800000,565800000,Metals & Mining,Iron & Steel,1638900000,Americas,,,
RSG,RSG,4.204884014,13.71,8934200000,23434000000,1607200000,Professional & Commercial Services,Environmental Services & Equipment,8565400000,Americas,,,
RTX,RTX,,,31485000000,161000000000.0,4535000000,Aerospace & Defense,Aerospace & Defense,31327000000,Americas,,,
RUN,RUN,-6.210700687,-4.21,4820111000,14382943000,-465108000,Renewable Energy,Renewable Energy Equipment & Services,4601109000,Americas,,,
RVNC,RVNC,-53.19889449,-94.06,180526000,720220000,-273162000,Biotechnology & Medical Research,Biotechnology & Medical Research,180526000,Americas,,,
RXL,RXL,-2.484076433,6.92,3705666830,12168050806,977039.5701,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,2339032731,Europe,,,
S,S,-5.546387082,,346739984.3,1062215240,-154831107.6,Metals & Mining,Diversified Mining,340455616.7,Americas,,,
SABR,SABR,-21.65817066,-142.48,4743876000,6077722000,-1009665000,Software & IT Services,Software,4717808000,Americas,,,
SAF,SAF,0.937587292,6.83,8557645335,48279189057,1132144602,Aerospace & Defense,Aerospace & Defense,4902296043,Europe,,,
SAH,SAH,-1.296247116,19.199,2110116000,3745993000,33939000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",651823000,Americas,,,
SAIC,SAIC,4.044470002,24.88,2515000000,5723000000,390000000,Software & IT Services,IT Services & Consulting,2447000000,Americas,,,
SAIL,SAIL,3.370086408,9.41,5185590057,16304451919,1210227381,Metals & Mining,Iron & Steel,2448359927,Asia,,,
SAN,SAN,10.55243878,12.05,28974108451,140000000000.0,17270395701,Pharmaceuticals,Pharmaceuticals,24174401563,Europe,,,
SAND,SAND,10.55398788,19.57,4564010089,17204730507,2063678202,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,3379834499,Europe,,,
SAP,SAP,,21.14,,,,Software & IT Services,Software,,Europe,,,
SAVE,SAVE,-6.27888304,-21.45,3450832000,8398825000,-507762000,Passenger Transportation Services,Airlines,3065518000,Americas,,,
SB,SB,-1.162470184,,625779000,1105629000,10478000,Freight & Logistics Services,Marine Freight & Logistics,549995000,Europe,,,
SBSAA,SBSAA,-5.459091586,,307212000,451219000,13813000,Media & Publishing,Broadcasting,307212000,Americas,,,
SBUX,SBUX,13.82425688,-58.52,14615800000,31392600000,5736600000,Hotels & Entertainment Services,Restaurants & Bars,13616900000,Americas,,,
SC,SC,4.213574377,,707371767.3,1475327453,85543820.57,Real Estate Operations,"Real Estate Rental, Development & Operations",285750665.8,Asia,,,
SCC,SCC,5.389749131,11.359,8700525499,24946101132,1356033589,Consumer Goods Conglomerates,Consumer Goods Conglomerates,5344644341,Asia,,,
SCCC,SCCC,5.164737509,10.938,989950787.6,2585564898,182855298.6,Construction Materials,Construction Materials,807563516.6,Asia,,,
SCCO,SCCO,9.422586264,22.38,6544200000,16946500000,3120700000,Metals & Mining,Specialty Mining & Metals,6544200000,Americas,,,
SCHA,SCHA,2.631190312,11.779,647827556.9,5651499784,128353093.4,Media & Publishing,Consumer Publishing,360228027.8,Europe,,,
SCHP,SCHP,1.392133182,5.44,674748412.3,1336778212,54033952.13,Professional & Commercial Services,Environmental Services & Equipment,559151196.9,Europe,,,
SCI,SCI,3.661473803,29.18,3774886000,14515425000,824342000,Personal & Household Products & Services,Personal Services,3412427000,Americas,,,
SCL,SCL,-14.05918037,-34.53,397135113.9,1198425766,-206680282.8,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,340445404.6,Americas,,,
SCS,SCS,1.061105013,6.34,483900000,2354000000,43000000,Professional & Commercial Services,Business Support Supplies,479200000,Americas,,,
SDS,SDS,5.850391327,,10494838.58,26759750.69,2612114.72,Software & IT Services,Software,5417052.15,Europe,,,
SE,SE,-20.72569618,-58.42,1840543000,10455671000,-1327725000,Software & IT Services,Software,1840406000,Asia,,,
SEDG,SEDG,7.137921115,23.65,618103000,2437109000,142561000,Renewable Energy,Renewable Energy Equipment & Services,573350000,Asia,,,
SEE,SEE,8.171153684,,3760900000,6083800000,788100000,Containers & Packaging,Non-Paper Containers & Packaging,3707500000,Americas,,,
SEM,SEM,3.622872357,11.16,2125825061,4678792159,243312213,Paper & Forest Products,Paper Products,1465021837,Europe,,,
SENS,SENS,-207.6446636,,60418000,35918000,-102581000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",57216000,Americas,,,
SEV,SEV,-0.208935063,-0.64,18317904250,43458964338,459086468,Professional & Commercial Services,Environmental Services & Equipment,13296897899,Europe,,,
SF,SF,9.635281445,14.73,179377007,817674915.8,14680575.9,Real Estate Operations,"Real Estate Rental, Development & Operations",56090117.51,Asia,,,
SFL,SFL,-6.431823318,-23.6,2222156000,3093211000,-136280000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,1164113000,Americas,,,
SGC,SGC,1.955975944,-43.35,1275866832,2315098771,77082469.95,Passenger Transportation Services,"Passenger Transportation, Ground & Sea",561679790,Europe,,,
SGE,SGE,8.120386144,18.1,1096621221,4484830522,502505793,Software & IT Services,Software,898582745.1,Europe,,,
SGH,SGH,2.11184542,30.589,365838000,1344798000,55197000,Semiconductors & Semiconductor Equipment,Semiconductors,340484000,Americas,,,
SHAK,SHAK,-4.30863506,-6.33,5584000,1145348000,-43876000,Hotels & Entertainment Services,Restaurants & Bars,,Americas,,,
SHI,SHI,-16.69597187,-32,648645692.3,1578681105,-245156350.4,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,290140421.4,Europe,,,
SHLDQ,SHLDQ,-10.25548542,,4132000000,7273000000,-430000000,Diversified Retail,Department Stores,2249000000,Americas,,,
SHOP,SHOP,5.678956566,10.43,758008000,7762905000,90153000,Software & IT Services,Online Services,758008000,Americas,,,
SHW,SHW,9.929140443,58.44,8292100000,20401600000,2503200000,Chemicals,Commodity Chemicals,8266900000,Americas,,,
SIBN,SIBN,2.984245343,5.44,11919691015,57720205990,1855332701,Oil & Gas,Integrated Oil & Gas,10008537742,Europe,,,
SIRI,SIRI,1.319492906,4.209,2018857053,3749404069,82525017.31,Real Estate Operations,"Real Estate Rental, Development & Operations",1295318343,Asia,,,
SIX,SIX,-13.51286977,45.17,2624577000,2772691000,-335654000,Hotels & Entertainment Services,Leisure & Recreation,2622641000,Americas,,,
SJI,SJI,2.282785813,10.57,3515601000,6689148000,282222000,Natural Gas Utilities,Natural Gas Utilities,2776400000,Americas,,,
SJM,SJM,5.270248327,12.56,4756000000,16284200000,1386800000,Food & Tobacco,Food Processing,3516800000,Americas,,,
SLAB,SLAB,0.683197305,11.54,563425000,1993487000,34200000,Semiconductors & Semiconductor Equipment,Semiconductors,428945000,Americas,,,
SLGN,SLGN,5.395990175,29.87,3251253000,6511586000,510905000,Containers & Packaging,Non-Paper Containers & Packaging,3190617000,Americas,,,
SLNH,SLNH,27.03153216,,0,8647000,1450000,Software & IT Services,IT Services & Consulting,,Americas,,,
SLT,SLT,1.393094796,5.88,145560576.5,502975085.5,26529066.93,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,121223742.1,Europe,,,
SM,SM,-13.57062502,-1.08,2214319000,4976431000,-788869000,Oil & Gas,Oil & Gas Exploration and Production,2214319000,Americas,,,
SMAR,SMAR,4.902745895,,1280407479,2494741524,165457763.5,Food & Tobacco,Food Processing,486526851.9,Asia,,,
SMG,SMG,12.64714871,61.5,2294500000,4800000000,723000000,Chemicals,Agricultural Chemicals,2209200000,Americas,,,
SMIN,SMIN,3.051162791,15.46,2075427110,7418991618,453174305.3,Consumer Goods Conglomerates,Consumer Goods Conglomerates,1907224377,Europe,,,
SMLP,SMLP,7.008670819,,1348098000,2499817000,256200000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,1347326000,Americas,,,
SNA,SNA,10.54788259,18.69,1460700000,6557300000,880500000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,1182100000,Americas,,,
SNAP,SNAP,-20.91239621,-15.85,1675169000,5024238000,-862072000,Software & IT Services,Software,1675169000,Americas,,,
SNCR,SNCR,-2.042438069,,10000000,482255000,-46525000,Software & IT Services,IT Services & Consulting,,Americas,,,
SNI,SNI,0.852333671,2.04,2502656000,4664865000,189927000,Freight & Logistics Services,Marine Freight & Logistics,2053336000,Europe,,,
SNX,SNX,1.920842534,38.52,4136432000,27666380000,623218000,"Computers, Phones & Household Electronics",Computer Hardware,3955176000,Americas,,,
SO,SO,2.568336541,11.57,49189000000,123000000000.0,4679000000,Electric Utilities & IPPs,Electric Utilities,44859000000,Americas,,,
SOCGP,SOCGP,2.842108225,,4886000000,18460000000,785000000,Natural Gas Utilities,Natural Gas Utilities,4719000000,Americas,,,
SOI,SOI,5.765804898,11.85,742161002,1838987404,105864002.1,Semiconductors & Semiconductor Equipment,Semiconductors,659517275.4,Europe,,,
SOL,SOL,4.356951919,7.74,862215237.3,5506871759,212941556.6,Coal,Coal,549259727.1,Oceania,,,
SON,SON,3.894094592,18.539,1700224000,5277259000,357804000,Containers & Packaging,Paper Packaging,1211160000,Americas,,,
SPG,SPG,3.547545387,9.05,774834239.8,2497603521,157199599.1,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",379751254.6,Africa,,,
SPGI,SPGI,21.21833787,511.29,4110000000,12537000000,3335000000,Professional & Commercial Services,Professional Information Services,4110000000,Americas,,,
SPH,SPH,5.991388596,36.34,1118014000,2051730000,197207000,Oil & Gas,Oil & Gas Refining and Marketing,1118014000,Americas,,,
SPI,SPI,4.78865748,,469397753.3,1821494788,69433394.81,Construction & Engineering,Construction & Engineering,334682988,Asia,,,
SPLK,SPLK,-16.05913429,-4.85,2302635000,5868486000,-780186000,Software & IT Services,Software,2302635000,Americas,,,
SPLP,SPLP,2.785219439,,2577065000,3934378000,141003000,Metals & Mining,Iron & Steel,2560507000,Americas,,,
SPNS,SPNS,5.855910686,17.11,118472000,714161000,45003000,Software & IT Services,Software,98676000,Asia,,,
SPWR,SPWR,31.27066473,-5.92,638480000,1646482000,-6012000,Renewable Energy,Renewable Energy Equipment & Services,478890000,Americas,,,
SQ,SQ,2.955520939,19.399,3051018000,9869550000,-18815000,Professional & Commercial Services,Business Support Services,2586924000,Americas,,,
SR,SR,3.08792108,9.689,3666900000,9356400000,450200000,Natural Gas Utilities,Natural Gas Utilities,2939100000,Americas,,,
SRCL,SRCL,-1.669037932,8.65,1780100000,5581900000,31900000,Professional & Commercial Services,Environmental Services & Equipment,1689100000,Americas,,,
SRE,SRE,1.874697629,10.84,24206000000,66623000000,2525000000,Multiline Utilities,Multiline Utilities,20487000000,Americas,,,
SRNE,SRNE,-56.43877109,,115466000,535822000,-296457000,Biotechnology & Medical Research,Biotechnology & Medical Research,92258000,Americas,,,
SRPT,SRPT,-23.0524551,-70.15,992493000,2984718000,-564163000,Biotechnology & Medical Research,Biotechnology & Medical Research,992493000,Americas,,,
SRS,SRS,-7.946615688,-21.37,1358932584,4116008793,-416598681,Oil & Gas,Oil & Gas Refining and Marketing,731045432.3,Europe,,,
SSP,SSP,5.107692697,16.539,389984187.7,563428328.9,35715438.75,Electric Utilities & IPPs,Independent Power Producers,319589114.5,Asia,,,
SST,SST,-7.108512769,,108691565.9,231808601.2,-10204618.84,Hotels & Entertainment Services,Restaurants & Bars,16900597.87,Asia,,,
STLA,STLA,0.57944927,6.87,25790180752,122000000000.0,2850512946,Automobiles & Auto Parts,Auto & Truck Manufacturers,19171958964,Europe,,,
STLD,STLD,,61.969,3105876000,12531234000,,Metals & Mining,Iron & Steel,3008702000,Americas,,,
STM,STM,4.969653695,14.28,2813000000,15306000000,1233000000,Semiconductors & Semiconductor Equipment,Semiconductors,1821000000,Europe,,,
STNG,STNG,1.823643074,5.639,3047800000,5158624000,242291000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,971172000,Europe,,,
STON,STON,-2.226435018,,325040000,1634963000,3212000,Personal & Household Products & Services,Personal Services,320715000,Americas,,,
STRS,STRS,9.212549985,24.29,684585915.8,1997695207,275952284.5,Food & Tobacco,Food Processing,526987884.3,Asia,,,
STZ,STZ,7.466010142,15.13,10442300000,27104800000,2778300000,Beverages,Brewers,10402200000,Americas,,,
SUGR,SUGR,-27.95429873,,4674469.756,14950164.96,-4003369.992,Healthcare Providers & Services,Healthcare Facilities & Services,3870031.422,Americas,,,
SUM,SUM,6.382897808,7.91,501715776.1,2797254615,169013285.1,Healthcare Providers & Services,Healthcare Facilities & Services,493680081,Oceania,,,
SUN,SUN,3.960765997,30.5,3112000000,5267000000,404000000,Oil & Gas,Oil & Gas Refining and Marketing,3106000000,Americas,,,
SUP,SUP,-20.11909836,,631604000,1109325000,-180435000,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",623217000,Americas,,,
